libavdevice60	7:6.1.1-3ubuntu5	arm64
libavfilter-dev	7:6.1.1-3ubuntu5	arm64
libavfilter9	7:6.1.1-3ubuntu5	arm64
libavformat-dev	7:6.1.1-3ubuntu5	arm64
libavformat60	7:6.1.1-3ubuntu5	arm64
libavutil-dev	7:6.1.1-3ubuntu5	arm64
libavutil58	7:6.1.1-3ubuntu5	arm64
libbdplus0	0.2.0-3build1	arm64
libbenchmark-dev	1.8.3-3	arm64
libbenchmark1.8.3	1.8.3-3	arm64
libbinutils	2.42-4ubuntu2.10	arm64
libblas-dev	3.12.0-3build1.1	arm64
libblas3	3.12.0-3build1.1	arm64
libblkid-dev	2.39.3-9ubuntu6.6	arm64
libblkid1	2.39.3-9ubuntu6.6	arm64
libblosc-dev	1.21.5+ds-1build1	arm64
libblosc1	1.21.5+ds-1build1	arm64
libbluray2	1:1.3.4-1build1	arm64
libboost-all-dev	1.83.0.1ubuntu2	arm64
libboost-atomic-dev	1.83.0.1ubuntu2	arm64
libboost-atomic1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-atomic1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-chrono-dev	1.83.0.1ubuntu2	arm64
libboost-chrono1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-chrono1.83.0t64	1.83.0-2.1ubuntu3.2	arm64
libboost-container-dev	1.83.0.1ubuntu2	arm64
libboost-container1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-container1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-context-dev	1.83.0.1ubuntu2	arm64
libboost-context1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-context1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-coroutine-dev	1.83.0.1ubuntu2	arm64
libboost-coroutine1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-coroutine1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-date-time-dev	1.83.0.1ubuntu2	arm64
libboost-date-time1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-date-time1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-dev	1.83.0.1ubuntu2	arm64
libboost-exception-dev	1.83.0.1ubuntu2	arm64
libboost-exception1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-fiber-dev	1.83.0.1ubuntu2	arm64
libboost-fiber1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-fiber1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-filesystem-dev	1.83.0.1ubuntu2	arm64
libboost-filesystem1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-filesystem1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-graph-dev	1.83.0.1ubuntu2	arm64
libboost-graph-parallel-dev	1.83.0.1ubuntu2	arm64
libboost-graph-parallel1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-graph-parallel1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-graph1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-graph1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-iostreams-dev	1.83.0.1ubuntu2	arm64
libboost-iostreams1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-iostreams1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-json-dev	1.83.0.1ubuntu2	arm64
libboost-json1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-json1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-locale-dev	1.83.0.1ubuntu2	arm64
libboost-locale1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-locale1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-log-dev	1.83.0.1ubuntu2	arm64
libboost-log1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-log1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-math-dev	1.83.0.1ubuntu2	arm64
libboost-math1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-math1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-mpi-dev	1.83.0.1ubuntu2	arm64
libboost-mpi-python-dev	1.83.0.1ubuntu2	arm64
libboost-mpi-python1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-mpi-python1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-mpi1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-mpi1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-nowide-dev	1.83.0.1ubuntu2	arm64
libboost-nowide1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-nowide1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-numpy-dev	1.83.0.1ubuntu2	arm64
libboost-numpy1.83-dev	1.83.0-2.1ubuntu3.2	arm64
libboost-numpy1.83.0	1.83.0-2.1ubuntu3.2	arm64
libboost-program-options-dev	1.83.0.1ubuntu2	arm64
